44.8726 -189.5685 15.6922 -73.512143
45.4404 -191.1005 14.5715 -73.511931
46.1386 -192.9259 14.1459 -73.511745
46.6287 -194.8895 13.783 -73.511588
47.9055 -196.4354 13.3908 -73.51146
49.0241 -197.9564 13.467 -73.511362
49.8322 -199.3762 13.2319 -73.511295
51.04 -200.3986 12.0409 -73.511261
-16.8109 -27.3553 2.8101 -73.581308
-17.497 -28.3029 4.2038 -73.580871
-18.1984 -29.271 5.5067 -73.580444
-18.2577 -29.3412 3.7473 -73.579948
-18.2679 -29.344 1.9276 -73.579465
-18.2781 -29.3467 0.108 -73.578995
-18.2883 -29.3494 -1.7116 -73.578538
-18.2985 -29.3522 -3.5313 -73.578094
-18.8534 -30.5664 -3.9808 -73.577657
-18.8107 -32.318 -3.8597 -73.577217
-19.3066 -34.0554 -3.7456 -73.576776
-18.9488 -34.5418 -2.2544 -73.576332
-18.3075 -35.7012 -1.0566 -73.575885
-18.003 -37.2922 -0.254 -73.575439
-17.2153 -38.7422 0.5062 -73.574991
-17.2992 -40.1694 1.5541 -73.574541
-17.1185 -41.7267 2.3954 -73.574089
-17.083 -42.8762 3.6698 -73.573633
-17.3639 -44.4413 4.545 -73.573177
-18.2212 -45.6938 5.2818 -73.572722
-18.9632 -46.7735 4.1464 -73.572265
-19.2427 -47.6114 2.5633 -73.571804
-19.7572 -49.1601 2.2576 -73.571346
-20.0441 -50.8741 2.5491 -73.570887
-20.3286 -52.4364 3.2684 -73.57043
-19.8077 -53.8024 3.6098 -73.569971
-19.2008 -54.6661 2.2731 -73.569508
-18.7221 -56.0354 2.9434 -73.569045
-18.7365 -56.729 4.1896 -73.568583
-18.8997 -58.1413 5.2798 -73.568123
-18.8149 -59.8936 5.7078 -73.567666
-18.9822 -61.072 7.0484 -73.567208
-19.3934 -62.5349 8.0119 -73.566756
-19.547 -63.8484 9.0694 -73.566303
-19.5772 -65.5723 8.63 -73.565856
-19.258 -67.3139 8.3405 -73.565413
-19.7508 -69.0603 8.364 -73.564975
-19.9946 -70.8175 8.7102 -73.56454
-19.8037 -72.5539 9.1873 -73.564111
-19.7201 -74.3251 9.5635 -73.563687
-20.2567 -75.9938 9.7611 -73.563269
-19.7758 -77.7066 9.8918 -73.562858
-19.8692 -79.394 10.0722 -73.562454
-20.6153 -80.6503 10.7965 -73.562059
-20.8101 -82.0334 11.1362 -73.561674
-21.8468 -83.2751 10.5156 -73.561299
-22.3598 -84.646 11.4203 -73.560935
-22.8139 -86.2646 12.0203 -73.560582
-22.9433 -87.4114 13.1988 -73.560239
-23.2601 -88.7922 14.1473 -73.559912
-23.5187 -90.5915 14.1567 -73.559601
-23.7693 -92.3875 14.2837 -73.559306
-23.9193 -94.161 14.5659 -73.559028
-24.765 -95.4177 14.2775 -73.558768
-25.6946 -96.5629 13.7452 -73.558528
-26.3361 -98.2508 13.7081 -73.55831
-26.22 -99.6251 14.4174 -73.55811
